text,intent,sentiment,user_type
"Hope you’re doing well, very unhappy with ZENDEnterprise Dedicated service after installation.",Complaint,Frustrated,Existing User
"Good morning, support resolved my issue professionally for my office network.",Complaint,Satisfied,Existing User
"Hi team, features included in ZENDOffice Net 200 for international usage.",Product Inquiry,Informational,Existing User
"I would like to know, cost of ZENDCloud VM Pro is too high under my current subscription.",Product Inquiry,Frustrated,Existing User
"I have a concern about, price of ZENDFleet IoT in India during peak hours.",Product Inquiry,Informational,Existing User
"I would like to know, refund eligibility for ZENDFleet IoT since last week.",Refund,Informational,New User
"Hello support, very unhappy with ZENDBiz Connect 500 service under my current subscription.",Complaint,Frustrated,Existing User
"Kindly help me with, price of Prepaid Unlimited in Singapore for international usage.",Product Inquiry,Informational,Existing User
"Good morning, features included in ZENDEnterprise Ultra during peak hours.",Product Inquiry,Informational,New User
"I wanted to check, billing charges for ZENDEnterprise Dedicated seem incorrect in USA for enterprise usage.",Billing,Frustrated,Existing User
"Hello support, cost of ZENDOffice Net 500 is too high after installation.",Product Inquiry,Frustrated,New User
"I would like to know, internet speed is extremely slow on ZENDArchive Storage in Singapore for my home connection.",Technical,Frustrated,New User
"Hello support, installation time for ZENDFiber Home 1 Gbps in Singapore since last week.",Technical,Informational,Existing User
"I have a concern about, features included in ZENDIndustrial Sensor after my recent upgrade.",Product Inquiry,Informational,New User
"I need assistance regarding, how to raise complaint for ZENDSmart Parking as part of my annual plan.",Complaint,Informational,Existing User
"Kindly help me with, internet speed is extremely slow on ZENDCloud VM Basic in India since last week.",Technical,Frustrated,Existing User
"Can you please confirm, internet speed is extremely slow on ZENDOffice Net 200 in USA for my home connection.",Technical,Frustrated,Existing User
"I would like to know, explain billing cycle for ZENDFiber Home 300 Mbps after my recent upgrade.",Billing,Informational,Existing User
"Good morning, refund not processed for ZENDOffice Net 1G since last week.",Refund,Frustrated,New User
"Hello support, explain billing cycle for Prepaid Unlimited under my current subscription.",Billing,Informational,Existing User
"Can you please confirm, how to raise complaint for ZENDBiz Connect 100 for enterprise usage.",Complaint,Informational,Existing User
"Kindly help me with, installation time for ZENDStorage 10TB in Singapore for international usage.",Technical,Informational,New User
"I have a concern about, refund eligibility for ZENDOffice Net 1G as part of my annual plan.",Refund,Informational,Existing User
"Hope you’re doing well, network performance has been excellent on ZENDCloud VM Basic for my home connection.",Technical,Satisfied,New User
"Hope you’re doing well, features included in ZENDEnterprise Ultra as part of my annual plan.",Product Inquiry,Informational,Existing User
"I wanted to check, billing experience has been smooth so far under my current subscription.",Billing,Satisfied,New User
"Can you please confirm, price of Postpaid Gold in India under my current subscription.",Product Inquiry,Informational,New User
"Hello support, refund eligibility for Prepaid Unlimited after my recent upgrade.",Refund,Informational,New User
"I wanted to check, how to raise complaint for ZENDEnterprise Dedicated during peak hours.",Complaint,Informational,Existing User
"I wanted to check, cost of ZENDSmart Parking is too high for my office network.",Product Inquiry,Frustrated,New User
"Good morning, ZENDFiber Home 300 Mbps offers great value for money after my recent upgrade.",Product Inquiry,Satisfied,New User
"Kindly help me with, refund eligibility for ZENDOffice Net 500 under my current subscription.",Refund,Informational,New User
"I wanted to check, network performance has been excellent on ZENDFiber Home 300 Mbps under my current subscription.",Technical,Satisfied,Existing User
"Kindly help me with, my Postpaid Gold connection keeps disconnecting in Thailand under my current subscription.",Technical,Frustrated,Existing User
"Can you please confirm, network performance has been excellent on ZENDCloud VM Pro since last week.",Technical,Satisfied,Existing User
"Kindly help me with, billing charges for ZENDStorage 1TB seem incorrect in Thailand for international usage.",Billing,Frustrated,Existing User
"Hope you’re doing well, ZENDArchive Storage offers great value for money after installation.",Product Inquiry,Satisfied,New User
"Hope you’re doing well, internet speed is extremely slow on Prepaid Plus 20GB in India for international usage.",Technical,Frustrated,Existing User
"Good morning, billing charges for ZENDFleet IoT seem incorrect in Thailand for my office network.",Billing,Frustrated,Existing User
"Kindly help me with, ZENDOffice Net 200 offers great value for money since last week.",Product Inquiry,Satisfied,New User
"Good morning, installation time for Postpaid Silver in India as part of my annual plan.",Technical,Informational,New User
"Hope you’re doing well, cost of ZENDFiber Home 100 Mbps is too high after my recent upgrade.",Product Inquiry,Frustrated,Existing User
"I would like to know, price of Postpaid Silver in Thailand after installation.",Product Inquiry,Informational,Existing User
"I have a concern about, how to raise complaint for ZENDSmart Traffic for my home connection.",Complaint,Informational,Existing User
"Hello support, very unhappy with ZENDStorage 10TB service as part of my annual plan.",Complaint,Frustrated,Existing User
"Hope you’re doing well, very unhappy with ZENDCloud VM Enterprise service during peak hours.",Complaint,Frustrated,Existing User
"Good morning, very unhappy with ZENDFiber Home 1 Gbps service for my home connection.",Complaint,Frustrated,Existing User
"Kindly help me with, installation time for ZENDSmart Parking in Singapore for my office network.",Technical,Informational,Existing User
"I have a concern about, price of ZENDCloud VM Basic in Singapore during peak hours.",Product Inquiry,Informational,New User
"Hi team, ZENDFiber Home 1 Gbps offers great value for money after installation.",Product Inquiry,Satisfied,New User
"Hello support, how to raise complaint for ZENDSmart Parking after my recent upgrade.",Complaint,Informational,New User
"I would like to know, my Prepaid Basic 5GB connection keeps disconnecting in Thailand for my office network.",Technical,Frustrated,Existing User
"I wanted to check, cost of ZENDFiber Home 1 Gbps is too high since last week.",Product Inquiry,Frustrated,Existing User
"Hope you’re doing well, my Postpaid Platinum connection keeps disconnecting in Singapore for international usage.",Technical,Frustrated,Existing User
"Hi team, refund not processed for ZENDOffice Net 200 for enterprise usage.",Refund,Frustrated,Existing User
"I wanted to check, features included in Prepaid Unlimited as part of my annual plan.",Product Inquiry,Informational,Existing User
"Hello support, installation time for ZENDBiz Connect 100 in Singapore for my office network.",Technical,Informational,Existing User
"Hi team, very unhappy with ZENDStorage 1TB service after my recent upgrade.",Complaint,Frustrated,Existing User
"Can you please confirm, network performance has been excellent on ZENDOffice Net 1G after my recent upgrade.",Technical,Satisfied,Existing User
"I wanted to check, very unhappy with ZENDBiz Connect 100 service since last week.",Complaint,Frustrated,Existing User
"Hi team, ZENDSmart Parking offers great value for money for my office network.",Product Inquiry,Satisfied,New User
"I have a concern about, internet speed is extremely slow on Postpaid Platinum in USA under my current subscription.",Technical,Frustrated,Existing User
"I would like to know, features included in ZENDOffice Net 500 for international usage.",Product Inquiry,Informational,Existing User
"Hi team, very unhappy with ZENDFleet IoT service for my office network.",Complaint,Frustrated,Existing User
"I would like to know, billing charges for Postpaid Silver seem incorrect in USA for enterprise usage.",Billing,Frustrated,Existing User
"Hi team, price of ZENDIndustrial Sensor in India for international usage.",Product Inquiry,Informational,New User
"Kindly help me with, Prepaid Plus 20GB offers great value for money since last week.",Product Inquiry,Satisfied,New User
"Hi team, price of Postpaid Platinum in Thailand for my office network.",Product Inquiry,Informational,New User
"Hello support, network performance has been excellent on Prepaid Plus 20GB for international usage.",Technical,Satisfied,New User
"Good morning, internet speed is extremely slow on Prepaid Unlimited in India since last week.",Technical,Frustrated,Existing User
"Can you please confirm, refund not processed for Postpaid Platinum under my current subscription.",Refund,Frustrated,Existing User
"Good morning, refund eligibility for ZENDIndustrial Sensor for my office network.",Refund,Informational,Existing User
"I wanted to check, price of ZENDOffice Net 1G in USA as part of my annual plan.",Product Inquiry,Informational,Existing User
"I have a concern about, ZENDCloud VM Basic offers great value for money under my current subscription.",Product Inquiry,Satisfied,New User
"I wanted to check, my ZENDFiber Home 300 Mbps connection keeps disconnecting in Thailand after installation.",Technical,Frustrated,Existing User
"I have a concern about, my Prepaid Unlimited connection keeps disconnecting in USA for my office network.",Technical,Frustrated,New User
"I have a concern about, network performance has been excellent on Postpaid Silver for my home connection.",Technical,Satisfied,Existing User
"Kindly help me with, refund not processed for ZENDFiber Home 100 Mbps after my recent upgrade.",Refund,Frustrated,Existing User
"Hi team, billing charges for ZENDStorage 10TB seem incorrect in USA since last week.",Billing,Frustrated,New User
"I have a concern about, network performance has been excellent on ZENDFleet IoT after my recent upgrade.",Technical,Satisfied,Existing User
"Good morning, price of ZENDFleet IoT in Singapore after installation.",Product Inquiry,Informational,Existing User
"Can you please confirm, support resolved my issue professionally for international usage.",Complaint,Satisfied,Existing User
"Hope you’re doing well, how to raise complaint for ZENDIndustrial Sensor for enterprise usage.",Complaint,Informational,Existing User
"Good morning, very unhappy with Postpaid Platinum service for my office network.",Complaint,Frustrated,New User
"I have a concern about, refund not processed for ZENDCloud VM Enterprise under my current subscription.",Refund,Frustrated,Existing User
"Kindly help me with, ZENDFiber Home 100 Mbps offers great value for money for my home connection.",Product Inquiry,Satisfied,New User
"Hope you’re doing well, my ZENDBiz Connect 1G connection keeps disconnecting in Thailand during peak hours.",Technical,Frustrated,Existing User
"Good morning, Prepaid Plus 20GB offers great value for money after installation.",Product Inquiry,Satisfied,New User
"I would like to know, cost of Prepaid Plus 20GB is too high for enterprise usage.",Product Inquiry,Frustrated,New User
"Hi team, very unhappy with Prepaid Basic 5GB service since last week.",Complaint,Frustrated,Existing User
"Good morning, cost of ZENDFiber Home 100 Mbps is too high for my office network.",Product Inquiry,Frustrated,Existing User
"I need assistance regarding, ZENDEnterprise Dedicated offers great value for money for international usage.",Product Inquiry,Satisfied,Existing User
"Hi team, explain billing cycle for ZENDArchive Storage after installation.",Billing,Informational,Existing User
"I have a concern about, how to raise complaint for Postpaid Silver after installation.",Complaint,Informational,New User
"Good morning, ZENDStorage 10TB offers great value for money after my recent upgrade.",Product Inquiry,Satisfied,Existing User
"I would like to know, how to raise complaint for ZENDIndustrial Sensor since last week.",Complaint,Informational,Existing User
"Can you please confirm, ZENDFiber Home 300 Mbps offers great value for money for my office network.",Product Inquiry,Satisfied,New User
"I have a concern about, support resolved my issue professionally for international usage.",Complaint,Satisfied,Existing User
"I need assistance regarding, billing experience has been smooth so far for my office network.",Billing,Satisfied,Existing User
"Hope you’re doing well, price of ZENDFiber Home 300 Mbps in India after my recent upgrade.",Product Inquiry,Informational,New User
"Hope you’re doing well, ZENDBiz Connect 100 offers great value for money for enterprise usage.",Product Inquiry,Satisfied,Existing User
"I need assistance regarding, refund not processed for ZENDBiz Connect 1G for enterprise usage.",Refund,Frustrated,Existing User
"Kindly help me with, cost of ZENDArchive Storage is too high after installation.",Product Inquiry,Frustrated,New User
"Hello support, installation time for Prepaid Plus 20GB in India as part of my annual plan.",Technical,Informational,Existing User
"I would like to know, internet speed is extremely slow on ZENDBiz Connect 1G in USA for international usage.",Technical,Frustrated,Existing User
"Hope you’re doing well, billing charges for ZENDSmart Lighting seem incorrect in USA for international usage.",Billing,Frustrated,New User
"Hello support, explain billing cycle for Prepaid Basic 5GB as part of my annual plan.",Billing,Informational,Existing User
"Good morning, refund eligibility for Prepaid Basic 5GB as part of my annual plan.",Refund,Informational,Existing User
"I wanted to check, very unhappy with ZENDCloud VM Enterprise service for international usage.",Complaint,Frustrated,Existing User
"Hi team, network performance has been excellent on Postpaid Silver for international usage.",Technical,Satisfied,Existing User
"Hope you’re doing well, installation time for ZENDFiber Home 1 Gbps in India under my current subscription.",Technical,Informational,Existing User
"Can you please confirm, my ZENDSmart Lighting connection keeps disconnecting in India for enterprise usage.",Technical,Frustrated,Existing User
"Good morning, refund not processed for ZENDSmart Parking since last week.",Refund,Frustrated,Existing User
"Can you please confirm, refund eligibility for Postpaid Silver since last week.",Refund,Informational,New User
"I have a concern about, features included in ZENDStorage 10TB since last week.",Product Inquiry,Informational,New User
"I wanted to check, internet speed is extremely slow on Postpaid Silver in USA for my home connection.",Technical,Frustrated,New User
"I would like to know, features included in ZENDSmart Lighting after installation.",Product Inquiry,Informational,New User
"I need assistance regarding, billing charges for ZENDCloud VM Enterprise seem incorrect in Singapore for international usage.",Billing,Frustrated,Existing User
"Can you please confirm, very unhappy with ZENDFiber Home 100 Mbps service after installation.",Complaint,Frustrated,Existing User
"I wanted to check, explain billing cycle for ZENDFiber Home 300 Mbps during peak hours.",Billing,Informational,Existing User
"I wanted to check, cost of ZENDSmart Parking is too high under my current subscription.",Product Inquiry,Frustrated,New User
"Hope you’re doing well, support resolved my issue professionally since last week.",Complaint,Satisfied,New User
"Hi team, how to raise complaint for ZENDCloud VM Basic for my office network.",Complaint,Informational,Existing User
"Good morning, cost of ZENDSmart Traffic is too high as part of my annual plan.",Product Inquiry,Frustrated,New User
"I have a concern about, explain billing cycle for ZENDSmart Lighting after installation.",Billing,Informational,Existing User
"I have a concern about, how to raise complaint for ZENDFiber Home 100 Mbps for enterprise usage.",Complaint,Informational,Existing User
"Hi team, Prepaid Unlimited offers great value for money under my current subscription.",Product Inquiry,Satisfied,New User
"I need assistance regarding, how to raise complaint for Postpaid Silver as part of my annual plan.",Complaint,Informational,Existing User
"Hi team, cost of ZENDCloud VM Basic is too high under my current subscription.",Product Inquiry,Frustrated,Existing User
"Kindly help me with, internet speed is extremely slow on ZENDFiber Home 1 Gbps in USA as part of my annual plan.",Technical,Frustrated,Existing User
"I wanted to check, price of ZENDFiber Home 300 Mbps in India after installation.",Product Inquiry,Informational,New User
"Hi team, internet speed is extremely slow on ZENDFiber Home 300 Mbps in Thailand for my home connection.",Technical,Frustrated,Existing User
"Good morning, billing charges for Prepaid Unlimited seem incorrect in USA since last week.",Billing,Frustrated,Existing User
"I have a concern about, refund not processed for Postpaid Gold for enterprise usage.",Refund,Frustrated,Existing User
"Hello support, ZENDFiber Home 100 Mbps offers great value for money after installation.",Product Inquiry,Satisfied,New User
"I would like to know, how to raise complaint for ZENDOffice Net 200 during peak hours.",Complaint,Informational,Existing User
"Kindly help me with, cost of ZENDFiber Home 300 Mbps is too high after installation.",Product Inquiry,Frustrated,Existing User
"I would like to know, billing charges for ZENDFiber Home 100 Mbps seem incorrect in Thailand for international usage.",Billing,Frustrated,Existing User
"Hi team, cost of Postpaid Silver is too high during peak hours.",Product Inquiry,Frustrated,New User
"Hello support, billing charges for ZENDBiz Connect 500 seem incorrect in Singapore for enterprise usage.",Billing,Frustrated,Existing User
"I wanted to check, price of ZENDCloud VM Enterprise in India for my home connection.",Product Inquiry,Informational,New User
"I would like to know, explain billing cycle for Postpaid Platinum after my recent upgrade.",Billing,Informational,Existing User
"Hope you’re doing well, cost of ZENDIndustrial Sensor is too high for my home connection.",Product Inquiry,Frustrated,New User
"Hope you’re doing well, refund not processed for Prepaid Basic 5GB for enterprise usage.",Refund,Frustrated,Existing User
"Kindly help me with, refund eligibility for Postpaid Gold after my recent upgrade.",Refund,Informational,New User
"I need assistance regarding, billing charges for Prepaid Unlimited seem incorrect in Singapore under my current subscription.",Billing,Frustrated,Existing User
"Hello support, how to raise complaint for ZENDFiber Home 100 Mbps after my recent upgrade.",Complaint,Informational,Existing User
"Kindly help me with, features included in ZENDArchive Storage for my home connection.",Product Inquiry,Informational,New User
"I wanted to check, ZENDSmart Lighting offers great value for money after installation.",Product Inquiry,Satisfied,New User
"I wanted to check, cost of ZENDOffice Net 500 is too high after installation.",Product Inquiry,Frustrated,New User
"Good morning, internet speed is extremely slow on ZENDSmart Traffic in Singapore during peak hours.",Technical,Frustrated,Existing User
"Hope you’re doing well, network performance has been excellent on ZENDEnterprise Dedicated for enterprise usage.",Technical,Satisfied,Existing User
"Kindly help me with, cost of Postpaid Gold is too high after my recent upgrade.",Product Inquiry,Frustrated,New User
"I wanted to check, Postpaid Gold offers great value for money during peak hours.",Product Inquiry,Satisfied,New User
"I would like to know, network performance has been excellent on Postpaid Platinum after installation.",Technical,Satisfied,Existing User
"Good morning, refund was credited quickly for my office network.",Refund,Satisfied,New User
"I need assistance regarding, price of ZENDEnterprise Ultra in Thailand for enterprise usage.",Product Inquiry,Informational,New User
"Hope you’re doing well, billing charges for ZENDCloud VM Basic seem incorrect in USA since last week.",Billing,Frustrated,Existing User
"Hi team, billing experience has been smooth so far for my office network.",Billing,Satisfied,Existing User
"Good morning, how to raise complaint for ZENDSmart Traffic after installation.",Complaint,Informational,Existing User
"I wanted to check, explain billing cycle for ZENDStorage 10TB for my home connection.",Billing,Informational,Existing User
"Hope you’re doing well, explain billing cycle for ZENDFleet IoT for my home connection.",Billing,Informational,New User
"Hope you’re doing well, my ZENDStorage 10TB connection keeps disconnecting in Thailand during peak hours.",Technical,Frustrated,Existing User
"I wanted to check, ZENDFleet IoT offers great value for money after installation.",Product Inquiry,Satisfied,New User
"I need assistance regarding, billing charges for ZENDEnterprise Dedicated seem incorrect in USA after my recent upgrade.",Billing,Frustrated,Existing User
"I wanted to check, ZENDEnterprise Dedicated offers great value for money for my home connection.",Product Inquiry,Satisfied,Existing User
"Can you please confirm, very unhappy with ZENDArchive Storage service after installation.",Complaint,Frustrated,Existing User
"I need assistance regarding, price of ZENDBiz Connect 1G in India for international usage.",Product Inquiry,Informational,Existing User
"I would like to know, refund eligibility for ZENDIndustrial Sensor for international usage.",Refund,Informational,Existing User
"I need assistance regarding, how to raise complaint for ZENDEnterprise Dedicated after installation.",Complaint,Informational,Existing User
"Hope you’re doing well, features included in ZENDIndustrial Sensor as part of my annual plan.",Product Inquiry,Informational,Existing User
"Kindly help me with, my ZENDStorage 10TB connection keeps disconnecting in Thailand during peak hours.",Technical,Frustrated,Existing User
"Can you please confirm, how to raise complaint for ZENDArchive Storage since last week.",Complaint,Informational,Existing User
"I need assistance regarding, explain billing cycle for Postpaid Silver for international usage.",Billing,Informational,Existing User
"I need assistance regarding, billing charges for ZENDFiber Home 100 Mbps seem incorrect in Thailand after my recent upgrade.",Billing,Frustrated,Existing User
"I need assistance regarding, network performance has been excellent on ZENDArchive Storage for my home connection.",Technical,Satisfied,Existing User
"I need assistance regarding, cost of Prepaid Plus 20GB is too high for enterprise usage.",Product Inquiry,Frustrated,New User
"I would like to know, refund eligibility for ZENDCloud VM Basic during peak hours.",Refund,Informational,Existing User
"Kindly help me with, very unhappy with ZENDCloud VM Basic service after installation.",Complaint,Frustrated,Existing User
"Can you please confirm, refund not processed for ZENDFiber Home 100 Mbps under my current subscription.",Refund,Frustrated,Existing User
"I wanted to check, refund eligibility for ZENDArchive Storage during peak hours.",Refund,Informational,New User
"I wanted to check, refund eligibility for ZENDOffice Net 1G during peak hours.",Refund,Informational,Existing User
"Good morning, features included in ZENDEnterprise Dedicated for enterprise usage.",Product Inquiry,Informational,New User
"I have a concern about, explain billing cycle for ZENDFiber Home 1 Gbps for my office network.",Billing,Informational,Existing User
"I would like to know, refund not processed for ZENDStorage 10TB during peak hours.",Refund,Frustrated,New User
"Hope you’re doing well, cost of ZENDStorage 1TB is too high for enterprise usage.",Product Inquiry,Frustrated,Existing User
"Good morning, cost of ZENDBiz Connect 500 is too high since last week.",Product Inquiry,Frustrated,Existing User
"I need assistance regarding, my ZENDOffice Net 200 connection keeps disconnecting in USA after my recent upgrade.",Technical,Frustrated,Existing User
"Hi team, how to raise complaint for ZENDBiz Connect 100 for my office network.",Complaint,Informational,Existing User
"Hello support, refund not processed for ZENDBiz Connect 100 since last week.",Refund,Frustrated,Existing User
"I have a concern about, refund not processed for ZENDFiber Home 1 Gbps for my home connection.",Refund,Frustrated,Existing User
"Hello support, very unhappy with Postpaid Platinum service for my office network.",Complaint,Frustrated,New User
"I wanted to check, installation time for ZENDStorage 1TB in Singapore after my recent upgrade.",Technical,Informational,Existing User
"I need assistance regarding, explain billing cycle for ZENDFleet IoT for my home connection.",Billing,Informational,New User
"Kindly help me with, refund not processed for ZENDEnterprise Ultra after my recent upgrade.",Refund,Frustrated,Existing User
"Hello support, billing experience has been smooth so far after my recent upgrade.",Billing,Satisfied,New User
"Kindly help me with, billing charges for ZENDFiber Home 300 Mbps seem incorrect in India since last week.",Billing,Frustrated,New User
"Can you please confirm, my ZENDStorage 10TB connection keeps disconnecting in Singapore during peak hours.",Technical,Frustrated,Existing User
"Hope you’re doing well, installation time for ZENDFiber Home 1 Gbps in Singapore for my home connection.",Technical,Informational,Existing User
"Kindly help me with, refund eligibility for Postpaid Platinum for international usage.",Refund,Informational,Existing User
"I need assistance regarding, features included in ZENDOffice Net 500 during peak hours.",Product Inquiry,Informational,Existing User
"Hi team, ZENDFleet IoT offers great value for money as part of my annual plan.",Product Inquiry,Satisfied,Existing User
"Good morning, refund not processed for Prepaid Unlimited after my recent upgrade.",Refund,Frustrated,Existing User
"Hello support, installation time for ZENDFiber Home 300 Mbps in USA under my current subscription.",Technical,Informational,Existing User
"I need assistance regarding, billing experience has been smooth so far under my current subscription.",Billing,Satisfied,New User
"I would like to know, installation time for ZENDEnterprise Dedicated in Thailand under my current subscription.",Technical,Informational,New User
"Hi team, refund eligibility for Prepaid Basic 5GB for my home connection.",Refund,Informational,Existing User
"Hello support, installation time for Postpaid Platinum in USA as part of my annual plan.",Technical,Informational,Existing User
"Hope you’re doing well, installation time for Postpaid Platinum in Thailand for my home connection.",Technical,Informational,Existing User
"Hello support, how to raise complaint for Postpaid Platinum since last week.",Complaint,Informational,Existing User
"Can you please confirm, explain billing cycle for Postpaid Gold for my office network.",Billing,Informational,Existing User
"Kindly help me with, ZENDCloud VM Enterprise offers great value for money under my current subscription.",Product Inquiry,Satisfied,New User
"I would like to know, very unhappy with Postpaid Silver service during peak hours.",Complaint,Frustrated,Existing User
"I wanted to check, my Prepaid Plus 20GB connection keeps disconnecting in India during peak hours.",Technical,Frustrated,Existing User
"Kindly help me with, explain billing cycle for ZENDBiz Connect 1G during peak hours.",Billing,Informational,New User
"I would like to know, internet speed is extremely slow on Prepaid Plus 20GB in India after my recent upgrade.",Technical,Frustrated,Existing User
"I wanted to check, internet speed is extremely slow on ZENDEnterprise Dedicated in Singapore after installation.",Technical,Frustrated,Existing User
"I would like to know, features included in ZENDOffice Net 1G under my current subscription.",Product Inquiry,Informational,New User
"Kindly help me with, refund eligibility for Prepaid Unlimited after my recent upgrade.",Refund,Informational,Existing User
"Hi team, billing charges for ZENDOffice Net 500 seem incorrect in Thailand since last week.",Billing,Frustrated,Existing User
"Good morning, price of ZENDFleet IoT in Thailand for enterprise usage.",Product Inquiry,Informational,New User
"Kindly help me with, my ZENDOffice Net 500 connection keeps disconnecting in Singapore after installation.",Technical,Frustrated,Existing User
"Kindly help me with, very unhappy with ZENDBiz Connect 500 service during peak hours.",Complaint,Frustrated,Existing User
"Hi team, network performance has been excellent on ZENDIndustrial Sensor under my current subscription.",Technical,Satisfied,New User
"Hello support, billing charges for ZENDIndustrial Sensor seem incorrect in India after my recent upgrade.",Billing,Frustrated,Existing User
"I would like to know, explain billing cycle for ZENDBiz Connect 1G for international usage.",Billing,Informational,Existing User
"I need assistance regarding, refund not processed for Postpaid Gold under my current subscription.",Refund,Frustrated,Existing User
"Kindly help me with, ZENDCloud VM Basic offers great value for money after installation.",Product Inquiry,Satisfied,New User
"Kindly help me with, network performance has been excellent on ZENDEnterprise Ultra for enterprise usage.",Technical,Satisfied,Existing User
"Can you please confirm, very unhappy with ZENDCloud VM Basic service under my current subscription.",Complaint,Frustrated,Existing User
"Hi team, refund eligibility for Postpaid Gold for my office network.",Refund,Informational,Existing User
